medicine_name,indication,contraindications,pregnancy_category,source,pregnancy_risk
cetirizine hydrochloride and pseudoephedrine hydrochloride,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to cetirizine or pseudoephedrine, concurrent MAOIs, concurrent SSRIs, concurrent TCAs, concurrent beta blockers, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
chlorothiazide (intravenous route),hypertension,"renal failure, severe hepatic impairment, hypersensitivity, concurrent lithium therapy, severe electrolyte imbalances, pregnancy (especially in the first trimester), concurrent NSAIDs or ACE inhibitors.",C,drugsdotcom,MEDIUM
chlorothiazide (oral/injection),hypertension,"renal failure, severe hepatic impairment, hypersensitivity, concurrent lithium therapy, severe electrolyte imbalances, pregnancy (especially in the first trimester), concurrent NSAIDs or ACE inhibitors.",C,drugsdotcom,MEDIUM
chlorpheniramine and pseudoephedrine,hayfever,"hepatic impairment, renal failure, severe hypertension, coronary artery disease, concurrent MAOIs, concurrent SSRIs, pregnancy (especially in the first trimester), hypersensitivity to sympathomimetics, concurrent beta blockers, concurrent guanethidine.",C,drugsdotcom,MEDIUM
chlorpheniramine and pseudoephedrine liquid,hayfever,"hepatic impairment, renal failure, severe hypertension, coronary artery disease, concurrent MAOIs, concurrent SSRIs, pregnancy (especially in the first trimester), hypersensitivity to sympathomimetics.",C,drugsdotcom,MEDIUM
chlorthalidone,hypertension,low blood pressure,C,drugsdotcom + drugdata,MEDIUM
chromium picolinate,diabetes (type 2),"renal failure, hepatic impairment, hypersensitivity, concurrent insulin or oral hypoglycemic medications, pregnancy",N,drugsdotcom,UNKNOWN
ciclesonide (inhalation),asthma,"asthma, bronchospasm",C,drugsdotcom,MEDIUM
ciclesonide nasal,hayfever,depression,C,drugsdotcom,MEDIUM
cimetidine,gerd (heartburn),"renal impairment, severe hepatic impairment, hypersensitivity to cimetidine, concurrent warfarin, concurrent theophylline, pregnancy (especially in the first trimester), concurrent MAOIs, concurrent pimozide",B,drugsdotcom,LOW
ciprofloxacin,bronchitis | bacterial infections,"hepatic impairment, renal failure, hypersensitivity to ciprofloxacin or other fluoroquinolones, concurrent antacids or multivitamins containing calcium, magnesium, or iron, pregnancy (especially during the first trimester), concurrent warfarin, concurrent theophylline.",C,drugsdotcom + drugdata,MEDIUM
clemastine,hayfever,"hepatic impairment, renal failure, severe hypertension, hypersensitivity to other antihistamines, concurrent MAOIs, pregnancy (use only if benefits outweigh risks)",B,drugsdotcom,LOW
clevidipine,hypertension,"hepatic impairment, severe aortic stenosis, hypersensitivity to clevidipine, concurrent beta-blockers, pregnancy, severe renal impairment",C,drugsdotcom,MEDIUM
clonidine (injection),pain,"renal impairment, hepatic impairment, hypersensitivity to clonidine, concurrent MAOIs, pregnancy (especially in the 2nd and 3rd trimesters), concurrent SSRIs or other antidepressants, concurrent beta-blockers.",C,drugsdotcom,MEDIUM
clonidine (oral route),hypertension,depression,C,drugsdotcom,MEDIUM
clonidine (oral),adhd | hypertension,"renal impairment, hepatic impairment, hypersensitivity to clonidine, concurrent MAOIs, pregnancy (especially in the 2nd and 3rd trimesters), concurrent SSRIs or other antidepressants, concurrent beta-blockers.",C,drugsdotcom,MEDIUM
clonidine (transdermal),hypertension,"renal impairment, hepatic impairment, hypersensitivity to clonidine, concurrent MAOIs, pregnancy (especially in the 2nd and 3rd trimesters), concurrent SSRIs or TCAs, severe heart failure, orthostatic hypotension.",C,drugsdotcom,MEDIUM
codeine,diarrhea,"renal impairment, respiratory depression, severe hepatic impairment, hypersensitivity, concurrent MAOIs, pregnancy, concurrent opioids, concurrent sedatives, concurrent benzodiazepines, concurrent CYP3A4 inhibitors",C,drugsdotcom,MEDIUM
cough and cold combinations (oral route),bronchitis | hayfever,"hepatic impairment, renal failure, hypersensitivity to certain ingredients, concurrent MAOIs, pregnancy, concurrent warfarin, concurrent theophylline, concurrent beta blockers, concurrent SSRIs, concurrent sedatives, concurrent opioids, concurrent antihistamines, concurrent asthma medications, concurrent thyroid medications, concurrent diabetes medications, concurrent blood thinners, concurrent stimulants, concurrent certain antidepressants,",C,drugsdotcom,MEDIUM
crofelemer,diarrhea,"hepatic impairment, renal failure, hypersensitivity to crofelemer, concurrent warfarin, pregnancy",C,drugsdotcom,MEDIUM
cromolyn sodium (nasal),hayfever,"renal impairment, severe asthma, hypersensitivity to cromolyn sodium or other mast cell stabilizers, concurrent beta-blockers, pregnancy and breastfeeding (use with caution)",B,drugsdotcom,LOW
cyproheptadine,hayfever,"hepatic impairment, renal failure, hypersensitivity to cyproheptadine, concurrent MAOIs, pregnancy, severe asthma, narrow-angle glaucoma, prostatic hypertrophy, pyloric stenosis, urinary retention, concurrent SSRIs, concurrent TCAs.",B,drugsdotcom,LOW
dalteparin,angina,"hepatic impairment, renal failure, hypersensitivity, thrombocytopenia, concurrent anticoagulants, pregnancy, severe hypertension",B,drugsdotcom,LOW
dapagliflozin,diabetes (type 2),"renal impairment, severe kidney disease, hypersensitivity, pregnancy (category C), concurrent diuretics, concurrent ACE inhibitors or ARBs.",C,drugsdotcom,MEDIUM
dapagliflozin and metformin,diabetes (type 2),"renal impairment, severe liver impairment, hypersensitivity to dapagliflozin or metformin, concurrent use of strong CYP3A4 inhibitors, pregnancy or breastfeeding, concurrent use of loop diuretics or other diuretics.",C,drugsdotcom,MEDIUM
dapagliflozin and saxagliptin,diabetes (type 2),pancreatitis,N,drugsdotcom,UNKNOWN
dapagliflozin brand name: farxiga,diabetes (type 2),"diabetes, type 1 diabetes, type 2 diabetes, hypoglycemia",C,drugsdotcom,MEDIUM
desloratadine,hayfever,"hepatic impairment, renal failure, hypersensitivity to desloratadine, concurrent MAOIs, pregnancy category C, severe liver disease, severe kidney disease, concurrent warfarin, concurrent ketoconazole, concurrent erythromycin",C,drugsdotcom,MEDIUM
desloratadine (oral route),hayfever,tachycardia,C,drugsdotcom,MEDIUM
desloratadine and pseudoephedrine,hayfever,"hepatic impairment, renal failure, hypersensitivity to desloratadine or pseudoephedrine, concurrent MAOIs, pregnancy, severe hypertension, coronary artery disease, heart failure, severe cardiovascular disease, thyroid disease, narrow-angle glaucoma, urinary retention, prostatic hypertrophy, severe asthma, severe COPD, concurrent SSRIs, concurrent TCAs, concurrent warfarin,",C,drugsdotcom,MEDIUM
dexamethasone,asthma | eczema,"renal failure, hepatic impairment, hypersensitivity, concurrent live vaccines, concurrent warfarin, pregnancy (high doses), concurrent potassium-depleting agents, concurrent non-potassium-sparing diuretics.",C,drugsdotcom,MEDIUM
dexamethasone (injection),asthma,pancreatitis,C,drugsdotcom,MEDIUM
dexamethasone (oral route),asthma,depression,C,drugsdotcom,MEDIUM
dexamethasone (oral),asthma,"depression, pancreatitis",C,drugsdotcom,MEDIUM
dexamethasone tablets,hayfever,"depression, pancreatitis",C,drugsdotcom,MEDIUM
dexchlorpheniramine,hayfever,enlarged prostate,B,drugsdotcom,LOW
dexchlorpheniramine and phenylephrine,hayfever,"renal impairment, severe hypertension, coronary heart disease, narrow-angle glaucoma, prostatic hypertrophy, urinary retention, severe asthma, hypersensitivity to sympathomimetics, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
dexchlorpheniramine maleate,hayfever,"hepatic impairment, renal failure, hypersensitivity to other antihistamines, concurrent MAOIs, pregnancy (use in pregnancy only if benefits outweigh risks)",B,drugsdotcom,LOW
dexlansoprazole,gerd (heartburn),lupus,B,drugsdotcom,LOW
diazepam (rectal route),seizures,"dementia, depression",D,drugsdotcom,HIGH
"diazepam brand names: diastat , diastat acudial",seizures,"asthma, depression",D,drugsdotcom,HIGH
diazepam nasal,seizures,depression,D,drugsdotcom,HIGH
diazepam rectal,seizures,depression,D,drugsdotcom,HIGH
diclofenac,migraine | osteoarthritis | pain,"hepatic impairment, renal failure, hypersensitivity to diclofenac, concurrent anticoagulants, concurrent aspirin at high doses, pregnancy (third trimester), severe heart failure.",D,drugsdotcom,HIGH
diclofenac sodium and capsaicin,pain,"hepatic impairment, renal failure, severe heart failure, hypersensitivity to diclofenac or capsaicin, concurrent anticoagulants, pregnancy (third trimester), concurrent ACE inhibitors or NSAIDs in patients with heart failure or renal disease.",N,drugsdotcom,UNKNOWN
diclofenac sodium and capsaicin oleoresin,pain,"hepatic impairment, renal failure, severe heart failure, hypersensitivity to NSAIDs, concurrent anticoagulants, pregnancy (third trimester), severe kidney disease.",N,drugsdotcom,UNKNOWN
"diclofenac sodium, capsaicin",pain,"hepatic impairment, renal failure, severe heart failure, hypersensitivity to diclofenac or capsaicin, concurrent anticoagulants, pregnancy (third trimester), severe kidney disease.",N,drugsdotcom,UNKNOWN
diclofenac topical system (patch),pain,anemia,C,drugsdotcom,MEDIUM
difenoxin and atropine (oral route),diarrhea,"hepatic impairment, renal failure, severe electrolyte disturbances, severe ulcerative colitis, pyloric stenosis, glaucoma, prostatic hypertrophy, urinary retention, hypersensitivity to anticholinergics, concurrent MAOIs, pregnancy, severe cardiovascular disease.",C,drugsdotcom,MEDIUM
diltiazem,hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to diltiazem, concurrent beta-blockers, concurrent verapamil, pregnancy (especially in severe hypertension), severe aortic stenosis.",C,drugsdotcom,MEDIUM
diltiazem (oral route),hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to diltiazem, concurrent beta-blockers, concurrent verapamil, pregnancy (especially in severe hypertension), severe aortic stenosis.",C,drugsdotcom,MEDIUM
diltiazem hydrochloride,hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to diltiazem, concurrent beta-blockers, concurrent verapamil, pregnancy (especially in the first trimester), severe aortic stenosis.",C,drugsdotcom,MEDIUM
diphenhydramine (topical),pain,"hepatic impairment, renal failure, severe cardiovascular disease, narrow-angle glaucoma, prostatic hypertrophy, urinary retention, hypersensitivity to diphenhydramine or other antihistamines, concurrent MAOIs, concurrent tricyclic antidepressants, pregnancy (especially in the first trimester), severe hypertension.",B,drugsdotcom,LOW
doxazosin,hypertension,low blood pressure,C,drugsdotcom,MEDIUM
dulaglutide,diabetes (type 2),"kidney failure, pancreatitis",C,drugsdotcom,MEDIUM
dyclonine,pain,"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, pregnancy",C,drugsdotcom,MEDIUM
dyphylline and guaifenesin,asthma,"renal failure, severe hepatic impairment, hypersensitivity to dyphylline or guaifenesin, concurrent MAOIs, pregnancy, concurrent beta-blockers, concurrent theophylline.",C,drugsdotcom,MEDIUM
"electrolyte oral solution, freezer-pops, and jell cups",diarrhea,"renal failure, hepatic impairment, severe electrolyte imbalance, severe dehydration, hypersensitivity to electrolytes, concurrent diuretics, pregnancy risks if severe electrolyte imbalance or dehydration.",C,drugsdotcom,MEDIUM
electrolyte replacement solutions,diarrhea,"renal failure, severe cardiac arrhythmias, severe electrolyte imbalances, severe dehydration, severe heart failure, severe kidney disease, severe liver disease, severe respiratory failure, hypersensitivity to certain medications, concurrent potassium-sparing diuretics, concurrent ACE inhibitors, concurrent NSAIDs, pregnancy risks if severe electrolyte imbalances or dehydration.",C,drugsdotcom,MEDIUM
electrolyte tablets,diarrhea,"renal failure, severe dehydration, electrolyte imbalance, severe heart conditions, hypersensitivity to certain ingredients, concurrent diuretics, pregnancy risks if severe electrolyte imbalance.",C,drugsdotcom,MEDIUM
empagliflozin,diabetes (type 2),"renal impairment, severe kidney disease, hypersensitivity, pregnancy, concurrent diuretics, concurrent ACE inhibitors or ARBs, concurrent NSAIDs, concurrent potassium-sparing diuretics.",C,drugsdotcom,MEDIUM
empagliflozin and linagliptin,diabetes (type 2),pancreatitis,C,drugsdotcom,MEDIUM
empagliflozin and metformin,diabetes (type 2),"renal impairment, severe kidney disease, hypersensitivity to empagliflozin or metformin, concurrent use of loop diuretics, pregnancy (category D), severe liver disease, acute kidney injury, heart failure with reduced ejection fraction.",C,drugsdotcom,MEDIUM
"empagliflozin, linagliptin, and metformin",diabetes (type 2),"heart failure, pancreatitis",N,drugsdotcom,UNKNOWN
enalapril,hypertension,"low blood pressure, hyperkalemia",D,drugsdotcom + drugdata,HIGH
enalapril (oral route),hypertension,"renal failure, severe hepatic impairment, hypersensitivity to ACE inhibitors, concurrent potassium-sparing diuretics, lithium, pregnancy (especially in second and third trimesters)",D,drugsdotcom,HIGH
enoxaparin,angina,anemia,B,drugsdotcom,LOW
eplerenone,hypertension,hyperkalemia,B,drugsdotcom,LOW
eprosartan,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to other angiotensin II receptor antagonists, concurrent potassium-sparing diuretics, pregnancy (if severe hypertension is not controlled)",D,drugsdotcom,HIGH
eptifibatide,angina,"renal failure, hepatic impairment, hypersensitivity to eptifibatide, thrombocytopenia, bleeding disorders, recent stroke or MI, concurrent anticoagulants, pregnancy, severe hypertension",B,drugsdotcom,LOW
ertugliflozin,diabetes (type 2),"renal impairment, severe kidney disease, hypersensitivity, pregnancy, concurrent diuretics, concurrent ACE inhibitors or ARBs",N,drugsdotcom,UNKNOWN
ertugliflozin and metformin,diabetes (type 2),"renal impairment, severe kidney disease, hypersensitivity to ertugliflozin or metformin, concurrent use of strong CYP3A4 inhibitors, pregnancy or breastfeeding, severe liver disease, acute kidney injury, heart failure with reduced ejection fraction.",N,drugsdotcom,UNKNOWN
ertugliflozin and sitagliptin,diabetes (type 2),"heart failure, autoimmune disease, pancreatitis",N,drugsdotcom,UNKNOWN
eslicarbazepine,seizures,depression,C,drugsdotcom,MEDIUM
esmolol,hypertension,"low blood pressure, hyperkalemia",C,drugsdotcom,MEDIUM
esomeprazole (intravenous route),gerd (heartburn),"hepatic impairment, severe renal impairment, hypersensitivity to esomeprazole or other proton pump inhibitors, concurrent clopidogrel, concurrent atazanavir, concurrent nelfinavir, pregnancy (especially in the 1st trimester), concurrent rilpivirine, concurrent cilostazol, concurrent tacrolimus, concurrent mycophenolate mofetil",C,drugsdotcom,MEDIUM
esomeprazole (oral),gerd (heartburn),lupus,C,drugsdotcom,MEDIUM
esomeprazole delayed-release tablets,gerd (heartburn),"hepatic impairment, severe renal impairment, hypersensitivity to esomeprazole or other proton pump inhibitors, concurrent clopidogrel, concurrent atazanavir, concurrent nelfinavir, pregnancy (especially in the 1st trimester), severe bone or mineral density disorders.",C,drugsdotcom,MEDIUM
esomeprazole magnesium (oral),gerd (heartburn),lupus,C,drugsdotcom,MEDIUM
ethosuximide,seizures,lupus,N,drugsdotcom,UNKNOWN
exenatide,diabetes (type 2),"renal impairment, severe gastrointestinal disease, hypersensitivity to exenatide or its excipients, concurrent use of strong cytochrome P450 3A4 inhibitors, pregnancy",C,drugsdotcom,MEDIUM
exenatide (bydureon),diabetes (type 2),"renal impairment, severe gastrointestinal disease, hypersensitivity to exenatide or its excipients, concurrent use of strong cytochrome P450 3A4 inhibitors, pregnancy",C,drugsdotcom,MEDIUM
exenatide (byetta),diabetes (type 2),"renal impairment, severe gastrointestinal disease, hypersensitivity to exenatide or its excipients, concurrent use of strong cytochrome P450 3A4 inhibitors, pregnancy",C,drugsdotcom,MEDIUM
famotidine,gerd (heartburn),kidney disease,B,drugsdotcom,LOW
famotidine (oral route),gerd (heartburn),"renal impairment, severe hepatic impairment, hypersensitivity to famotidine or other H2-receptor antagonists, concurrent warfarin, pregnancy (use only if benefits outweigh risks).",B,drugsdotcom,LOW
famotidine chewable tablets,gerd (heartburn),"renal impairment, severe hepatic impairment, hypersensitivity to famotidine, concurrent warfarin, pregnancy (category C), concurrent MAOIs, concurrent ketoconazole, concurrent itraconazole",B,drugsdotcom,LOW
famotidine oral suspension,gerd (heartburn),"renal impairment, severe hepatic impairment, hypersensitivity to famotidine, concurrent warfarin, pregnancy category C (use with caution), concurrent MAOIs, concurrent ketoconazole, concurrent atazanavir",B,drugsdotcom,LOW
felodipine,hypertension,"hepatic impairment, severe renal impairment, hypersensitivity to dihydropyridines, concurrent beta-blockers, concurrent calcium channel blockers, pregnancy (category C), severe aortic stenosis.",C,drugsdotcom,MEDIUM
fentanyl,severe pain,"renal failure, respiratory depression, respiratory disease, sleep apnea, severe obesity, head injury, intracranial hypertension, concurrent benzodiazepines, concurrent CNS depressants, pregnancy, breastfeeding, hypersensitivity to fentanyl or other opioids, concurrent MAOIs, concurrent SSRIs, concurrent TCAs, concurrent tramadol, concurrent pethidine.",C,drugdata,MEDIUM
fentanyl (buccal/sublingual),pain,"renal failure, respiratory depression, respiratory disease, sleep apnea, severe obesity, head injury, intracranial hypertension, concurrent benzodiazepines, concurrent CNS depressants, pregnancy, breastfeeding, hypersensitivity to fentanyl or other opioids, concurrent MAOIs, concurrent pimozide, concurrent thioridazine.",C,drugsdotcom,MEDIUM
"fentanyl brand names: actiq (lozenge), lazanda (nasal spray), fentora (sublingual tablet), subsys (sublingual spray)",pain,"renal failure, respiratory depression, respiratory disease, head injury, intracranial hypertension, concurrent benzodiazepines, concurrent CNS depressants, pregnancy, breastfeeding, hypersensitivity to fentanyl.",C,drugsdotcom,MEDIUM
fentanyl citrate (oral transmucosal),pain,"renal impairment, respiratory depression, respiratory disease, hepatic impairment, hypersensitivity, concurrent MAOIs, pregnancy, concurrent benzodiazepines, concurrent CNS depressants, concurrent opioids.",C,drugsdotcom,MEDIUM
fentanyl transdermal (skin patch),pain,"renal failure, severe respiratory depression, severe hepatic impairment, hypersensitivity to fentanyl, concurrent MAOIs, concurrent benzodiazepines, concurrent CNS depressants, pregnancy, concurrent pimozide, concurrent thioridazine, concurrent erythromycin, concurrent ketoconazole, concurrent itraconazole, concurrent ritonavir, concurrent clarithromycin, concurrent grapefruit juice",C,drugsdotcom,MEDIUM
fentanyl transdermal system,pain,depression,C,drugsdotcom,MEDIUM
fexofenadine,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to fexofenadine or other antihistamines, concurrent ketoconazole or erythromycin.",C,drugsdotcom,MEDIUM
fexofenadine (oral route),hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to fexofenadine or other antihistamines, concurrent ketoconazole or erythromycin.",C,drugsdotcom,MEDIUM
fexofenadine and pseudoephedrine,hayfever,"renal impairment, severe hepatic impairment, hypersensitivity to fexofenadine or pseudoephedrine, concurrent MAOIs, concurrent SSRIs, concurrent TCAs, concurrent beta blockers, concurrent certain antacids, pregnancy, breastfeeding, severe hypertension, coronary artery disease, heart failure, arrhythmias, thyroid disease, pheochromocytoma, narrow-angle glaucoma",C,drugsdotcom,MEDIUM
flunisolide nasal,hayfever,"renal impairment, hypersensitivity to flunisolide, concurrent systemic corticosteroids, pregnancy (use with caution)",C,drugsdotcom,MEDIUM
fluticasone and vilanterol,asthma,"renal impairment, hypersensitivity to fluticasone or vilanterol, concurrent beta-blockers, concurrent MAOIs, concurrent non-potassium-sparing diuretics, concurrent potassium-sparing diuretics, concurrent other long-acting beta-agonists, severe hepatic impairment, pregnancy, labor",C,drugsdotcom,MEDIUM
fluticasone nasal,hayfever,"renal impairment, hypersensitivity to fluticasone or other corticosteroids, concurrent systemic corticosteroids, concurrent potassium-sparing diuretics, concurrent NSAIDs, pregnancy (use only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
fluticasone nasal spray,hayfever,"renal impairment, hepatic impairment, hypersensitivity to fluticasone, concurrent systemic corticosteroids, concurrent immunosuppressants, pregnancy (use in pregnancy only if benefits outweigh risks)",C,drugsdotcom,MEDIUM
fluticasone propionate,hayfever | asthma,"renal impairment, hepatic impairment, hypersensitivity to fluticasone propionate, concurrent systemic corticosteroids, concurrent potassium-sparing diuretics, concurrent NSAIDs, concurrent potassium supplements, concurrent ACE inhibitors, concurrent beta-blockers, concurrent potassium-wasting diuretics, concurrent potassium-depleting diuretics, concurrent digoxin, concurrent live vaccines, pregnancy (use only if",C,drugsdotcom + drugdata,MEDIUM
fluticasone propionate / salmeterol,asthma,"renal impairment, hypersensitivity to fluticasone or salmeterol, concurrent beta-blockers, concurrent MAOIs, concurrent non-potassium-sparing diuretics, concurrent potassium-depleting drugs, concurrent corticosteroids, concurrent strong CYP3A4 inhibitors, concurrent strong CYP2D6 inhibitors, concurrent strong CYP2C9 inhibitors, concurrent strong CYP",C,drugdata,MEDIUM
"fluticasone, umeclidinium, and vilanterol",asthma,"renal impairment, hypersensitivity to any component, concurrent MAOIs, concurrent beta-blockers, concurrent non-potassium-sparing diuretics, concurrent potassium-sparing diuretics, concurrent other anticholinergics, concurrent strong CYP3A4 inhibitors, concurrent strong CYP2D6 inhibitors, concurrent strong CYP2C19 inhibitors, concurrent strong CYP2C9",N,drugsdotcom,UNKNOWN
formoterol and mometasone,asthma,asthma,C,drugsdotcom,MEDIUM
fosinopril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
furosemide,hypertension | edema,"renal failure, hepatic impairment, severe hypokalemia, hypersensitivity, hypovolemia, severe dehydration, severe electrolyte imbalance, concurrent lithium therapy, pregnancy (especially in severe cases or with pre-existing conditions), concurrent NSAIDs or ACE inhibitors.",C,drugsdotcom + drugdata,MEDIUM
furosemide (oral/injection),hypertension,"renal failure, hepatic impairment, severe hypovolemia, hypersensitivity, severe electrolyte imbalance, concurrent lithium therapy, pregnancy (especially in severe cases or with pre-existing conditions), concurrent NSAIDs.",C,drugsdotcom,MEDIUM
ganaxolone,seizures,depression,N,drugsdotcom,UNKNOWN
glimepiride,diabetes (type 2),"renal failure, severe hepatic impairment, hypersensitivity to sulfonylureas, concurrent warfarin, concurrent beta-blockers, concurrent NSAIDs, pregnancy in the first trimester, concurrent pioglitazone.",C,drugsdotcom,MEDIUM
glimepiride and pioglitazone,diabetes (type 2),heart failure,C,drugsdotcom,MEDIUM
glipizide,diabetes (type 2),"renal impairment, severe liver disease, hypersensitivity to sulfonylureas, concurrent beta-blockers, concurrent warfarin, pregnancy in the first trimester, concurrent MAOIs, concurrent chloramphenicol",C,drugsdotcom,MEDIUM
glipizide (oral route),diabetes (type 2),depression,C,drugsdotcom,MEDIUM
glipizide and metformin,diabetes (type 2),hypoglycemia,C,drugsdotcom,MEDIUM
glipizide xl,diabetes (type 2),"renal impairment, severe liver disease, hypersensitivity to sulfonylureas, concurrent beta-blockers, concurrent warfarin, pregnancy in the first trimester, concurrent CYP2C9 inhibitors",C,drugsdotcom,MEDIUM
glyburide,diabetes (type 2),diabetes,C,drugsdotcom,MEDIUM
glyburide (oral route),diabetes (type 2),depression,C,drugsdotcom,MEDIUM
glyburide and metformin,diabetes (type 2),hypoglycemia,B,drugsdotcom,LOW
guanabenz,hypertension,"hepatic impairment, renal failure, hypersensitivity, concurrent MAOIs, pregnancy, severe bradycardia, heart block, severe heart failure, severe hypotension, severe asthma, severe COPD.",C,drugsdotcom,MEDIUM
heparin (injection),angina,"renal failure, severe thrombocytopenia, hypersensitivity, concurrent aspirin, concurrent NSAIDs, pregnancy (especially during third trimester), concurrent warfarin",C,drugsdotcom,MEDIUM
house dust mite allergen extract,hayfever,"renal failure, severe hepatic impairment, hypersensitivity to the extract, concurrent beta-blockers, concurrent MAOIs, pregnancy",N,drugsdotcom,UNKNOWN
house dust mite allergen extract brand name: odactra,hayfever,"renal impairment, severe asthma, hypersensitivity to any component of the product, concurrent beta-blockers, concurrent MAOIs, concurrent tricyclic antidepressants, concurrent sympathomimetics, concurrent theophylline, concurrent non-selective NSAIDs, concurrent corticosteroids, concurrent immunosuppressants, concurrent immunomodulators, concurrent live vaccines, concurrent immunoglobulins",N,drugsdotcom,UNKNOWN
hydralazine,hypertension,lupus,C,drugsdotcom,MEDIUM
hydrochlorothiazide,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to thiazides, concurrent lithium, concurrent NSAIDs, pregnancy (especially in the 2nd and 3rd trimesters), severe electrolyte disturbances.",C,drugsdotcom + drugdata,MEDIUM
hydrochlorothiazide (oral route),hypertension,"renal failure, severe hepatic impairment, hypersensitivity to thiazides, concurrent lithium, concurrent NSAIDs, pregnancy (especially in the 2nd and 3rd trimesters), severe electrolyte disturbances.",B,drugsdotcom,LOW
hydrochlorothiazide / lisinopril,hypertension,low blood pressure,C,drugdata,MEDIUM
hydrochlorothiazide / moexipril,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to moexipril or hydrochlorothiazide, anuria, acute angle-closure glaucoma, concomitant use of potassium-sparing diuretics, lithium, or NSAIDs.",D,drugsdotcom,HIGH
hydrochlorothiazide and aliskiren,hypertension,"hyperkalemia, lupus",D,drugsdotcom,HIGH
hydrochlorothiazide and amiloride,hypertension,hyperkalemia,B,drugsdotcom,LOW
hydrochlorothiazide and benazepril,hypertension,lupus,D,drugsdotcom,HIGH
hydrochlorothiazide and bisoprolol,hypertension,"renal failure, severe hepatic impairment, hypersensitivity to sulfonamides or other thiazides, severe bradycardia, heart block, severe asthma or COPD, pregnancy (especially in the second and third trimesters), concurrent beta-blockers with certain other medications (e.g. verapamil, diltiazem)",C,drugsdotcom,MEDIUM
hydrochlorothiazide and candesartan,hypertension,kidney failure,D,drugsdotcom,HIGH
hydrochlorothiazide and captopril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
hydrochlorothiazide and enalapril,hypertension,lupus,D,drugsdotcom,HIGH
hydrochlorothiazide and fosinopril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
hydrochlorothiazide and irbesartan,hypertension,kidney failure,D,drugsdotcom,HIGH
hydrochlorothiazide and lisinopril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
hydrochlorothiazide and losartan,hypertension,lupus,D,drugsdotcom,HIGH
hydrochlorothiazide and methyldopa,hypertension,"renal failure, hepatic impairment, hypersensitivity to methyldopa, severe electrolyte imbalances, concurrent MAOIs, pregnancy (especially in the second and third trimesters), severe bradycardia, heart block, anuria, severe hypotension.",C,drugsdotcom,MEDIUM
hydrochlorothiazide and metoprolol,hypertension,bronchospasm,C,drugsdotcom,MEDIUM
hydrochlorothiazide and olmesartan,hypertension,"kidney failure, hyperkalemia",D,drugsdotcom,HIGH
hydrochlorothiazide and quinapril,hypertension,hyperkalemia,D,drugsdotcom,HIGH
hydrochlorothiazide and spironolactone,hypertension,hyperkalemia,C,drugsdotcom,MEDIUM
hydrochlorothiazide and telmisartan,hypertension,kidney failure,D,drugsdotcom,HIGH
hydrochlorothiazide and triamterene,hypertension,"hyperkalemia, lupus, pancreatitis",C,drugsdotcom,MEDIUM
hydrochlorothiazide and valsartan,hypertension,kidney failure,D,drugsdotcom,HIGH
hydrocodone (oral),pain,"renal failure, hepatic impairment, respiratory depression, severe respiratory disease, severe obesity, hypersensitivity to codeine or other opioids, concurrent MAOIs, pregnancy, concurrent benzodiazepines or other CNS depressants.",C,drugsdotcom,MEDIUM
hydrocodone and acetaminophen liquid,pain,"hepatic impairment, severe renal impairment, hypersensitivity to hydrocodone or acetaminophen, concurrent MAOIs, concurrent mixed agonist/antagonist opioids, concurrent CYP3A4 inhibitors, pregnancy, severe respiratory depression, acute pancreatitis, severe asthma, severe chronic obstructive pulmonary disease (COPD).",C,drugsdotcom,MEDIUM
hydrocodone and ibuprofen,pain,"renal failure, severe hepatic impairment, hypersensitivity to codeine or other opioids, concurrent MAOIs, pregnancy (especially in third trimester), concurrent aspirin or other NSAIDs, severe respiratory depression, severe asthma, severe chronic obstructive pulmonary disease (COPD)",C,drugsdotcom,MEDIUM
hydromorphone (oral),pain,"renal failure, respiratory depression, biliary obstruction, severe hepatic impairment, hypersensitivity, concurrent MAOIs, pregnancy, concurrent CYP3A4 inhibitors, concurrent CYP2D6 inhibitors",C,drugsdotcom,MEDIUM
ibuprofen,osteoarthritis | pain | pain and inflammation,"anemia, severe kidney disease, renal failure, kidney failure",C,drugsdotcom + drugdata,MEDIUM
ibuprofen (oral route),osteoarthritis | pain,"depression, severe kidney disease, renal failure, kidney failure",C,drugsdotcom,MEDIUM
